Premises Name|Address|postcode|Local Authority|Type|Products Sold|Company Name|Status
CUMBERNAULD GROCERS SPAR|56 MAIN STREET, THE VILLAGE G67 2RX|G67 2RX|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|CUMBERNAULD GROCERS|Active
Cuminestown General Store (NISA)|23 main street, cuminestown AB53 5YJ|AB53 5YJ|Aberdeenshire|Convenience Store|Tobacco Only|Costcutters Cuminestown|Inactive
cunninghams|southbrae,  KW9 6NU|KW9 6NU|Highland|Convenience Store|Tobacco Only|cunninghams|Active
Cunningsburgh Public Hall|Cunningsburgh Public Hall,  ZE2 9HB|ZE2 9HB|Shetland Islands|Entertainment Venue|Tobacco Only|Cunningsburgh Public Hall|Inactive
Cup Cafe|Patisserie Apostrophe, 18 Woodlands Road G3 6UR|G3 6UR|Glasgow City|Other Catering|Tobacco Only|Cup Cafe|Active
Cupar|99 Bonnygate,  KY15 4LG|KY15 4LG|Fife|Supermarket and Other Retail Outlets|Tobacco And Nicotine Vapour Products|The Co-operative Group Food Ltd|Active
Cupar TOFS Store|Burnside Mill,  KY15 4DQ|KY15 4DQ|Fife|Supermarket and Other Retail Outlets|Tobacco And Nicotine Vapour Products|The Original Factory Shop|Active
Curiosity|Curiosity, 14A Backgate AB42 1LN|AB42 1LN|Aberdeenshire|Other Retail|Tobacco And Nicotine Vapour Products|Curiosity|Inactive
Currie|9-11 Corslet Place,  EH14 5LS|EH14 5LS|Edinburgh City|Convenience Store|Tobacco And Nicotine Vapour Products|The Co-operative Group Food Ltd|Active
Curries Convenience Store|66A Fernieside Crescent,  EH17 7HR|EH17 7HR|Edinburgh City|Convenience Store|Tobacco And Nicotine Vapour Products|Curries|Active
Curry Central|41 Drysdale Street,  FK10 1JA|FK10 1JA|Clackmannanshire|Other Catering|Tobacco Only|curry central|Active
Curry King|48 Main Road,  KA8 0LQ|KA8 0LQ|South Ayrshire|Other Catering|Tobacco Only|Curry King|Inactive
curtis news agent|362 curtis avenue rutherglen glasgow,  G73 2EB|G73 2EB|South Lanarkshire|Convenience Store|Tobacco Only|Day today govan grocer |Inactive
Curtis Newsagents|General Store, 362 Curtis Avenue, Rutherglen G73 2EB|G73 2EB|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Curtis Newsagents WA|Active
Cut price|Cut Price Gift Shop, 472 Dumbarton Road G11 6SQ|G11 6SQ|Glasgow City|Other Retail|Nicotine Vapour Products Only|Cut price gift shop|Active
cutprice shop|1929 dumbarton road, Glasgow G14 0YT|G14 0YT|Glasgow City|Off-Licence|Tobacco Only|cutprice shop|Active
D & A MINI MARKET|Din Mini Market, 70 Leven Road ML5 2LT|ML5 2LT|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|DEANS STORES|Inactive
D & E Milne|30 North Street,  AB42 1JS|AB42 1JS|Aberdeenshire|Convenience Store|Tobacco Only|D & E Milne|Active
D & F STORES|DALBEATH CRESCENT,  KY4 9RN|KY4 9RN|Fife|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|D & F STORES|Active
d & g leslie|d & g leslie, market cross ZE1 0LL|ZE1 0LL|Shetland Islands|Convenience Store|Tobacco And Nicotine Vapour Products|brae stores ltd|Active
D & H Store|84, Main Street KA25 7AA|KA25 7AA|North Ayrshire|Convenience Store|Tobacco Only|D & H Store|Inactive
D & N Wan Limited trading as Sarah's Store|Sarah's Store, 4/6 Grosvenor Road PA15 2DW|PA15 2DW|Inverclyde|Convenience Store|Tobacco Only|D & N Wan Limited trading as Sarah's Store|Inactive
D Charteris Pharmacy|D Charters Pharmacy, 65 Main Street, Kilsyth G65 0AH|G65 0AH|North Lanarkshire|Other Retail|Nicotine Vapour Products Only|M Farren Ltd|Active
D Connell & Co|6 Glaisnock Street,  KA18 1DA|KA18 1DA|East Ayrshire|Confectionary / Tobacconist / Newsagents|Tobacco Only|D Connell & Co|Inactive
D G Anderson Wines and Spirits Ltd|8-10 Gallowhill Road,  AB43 9JS|AB43 9JS|Aberdeenshire|Off-Licence|Tobacco Only|D G Anderson Wines and Spirits Ltd|Active
D J Malcolm|33, High Street EH40 3AA|EH40 3AA|East Lothian|Convenience Store|Tobacco Only|D J Malcolm|Active
D J Malcolm|33, High Street EH40 3AA|EH40 3AA|East Lothian|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|D J Malcolm|Active
D luxe|Hawk Brae, Ladywell west EH54 6TW|EH54 6TW|West Lothian|Nightclub|Tobacco Only|Lodge Hotels (Davincis) ltd|Active
D S Dalgleish and Son (Coldstream) Ltd|High Street,  TD12 4AE|TD12 4AE|Scottish Borders|Forecourt Garage|Tobacco And Nicotine Vapour Products|D S Dalgleish & Son (Coldstream) Ltd|Active
D S Dalgleish and Son Ltd|28 Melrose Road,  TD1 2BZ|TD1 2BZ|Scottish Borders|Forecourt Garage|Tobacco And Nicotine Vapour Products|D.S.Dalgleish and Son  Ltd|Active
d&a mini market|70 leven road,townhead,,  ML5 2LT|ML5 2LT|North Lanarkshire|Confectionary / Tobacconist / Newsagents|Tobacco Only|d&a mini market|Inactive
D&A Mini Market|70 Leven Road, Townhead ML5 2LT|ML5 2LT|North Lanarkshire|Convenience Store|Tobacco Only|Day Today|Inactive
d&a retail grocers|84 main street,  KA27 7AA|KA27 7AA|North Ayrshire|Convenience Store|Tobacco Only|d&a retail grocers|Inactive
D&D Delicious Foods|100F Saughton Road North,  EH12 7JN|EH12 7JN|Edinburgh City|Other Catering|Tobacco Only|D&D Delicious Foods|Inactive
d&h ices|19, dennyholm wynd KA25 6HG|KA25 6HG|North Ayrshire|Mobile Trade|Tobacco Only|d&h ices|Active
D&K SUPPLIES|36b STIRLING STREET,  FK6 6DJ|FK6 6DJ|Falkirk|Convenience Store|Tobacco Only|D&K SUPPLIES|Inactive
D&M Anderson/Thorntons|76 - 78 Gray Street, Broughty Ferry DD5 2BP|DD5 2BP|Dundee City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Imran Hussain T/A D&M Anderson|Active
D&M Fusco|34 Burn Street, Bonhill G83 9AW|G83 9AW|West Dunbartonshire|Mobile Trade|Tobacco Only|D&M Fusco|Active
D&M Leckie|20 Raploch Street, Larkhall ML9 1AE|ML9 1AE|South Lanarkshire|Convenience Store|Tobacco Only|D & M Leckie|Active
D&S Henderson |3 Greys Place, Lybster KW3 6AE|KW3 6AE|Highland|Convenience Store|Tobacco And Nicotine Vapour Products|D&S Henderson t/a 2C Local|Active
d&s mclean newsagents|27 corstorphine high street, corstorphine EH12 7SU|EH12 7SU|Edinburgh City|Confectionary / Tobacconist / Newsagents|Tobacco Only|d&s mclean newsagents|Active
D. & A. Yuill|172 Cross Arthurlie Street, Barrhead G78 1EY|G78 1EY|East Renfrewshire|Convenience Store|Tobacco Only|D. & A. Yuill|Active
D.C Ryan Village Shop and Post Office|Strontian,  PH36 4HZ|PH36 4HZ|Highland|Convenience Store|Tobacco And Nicotine Vapour Products|D.C Ryan Village Shop and Post Office|Active
D.D. Store|Froghall Terrace,  AB24 3JP|AB24 3JP|Aberdeen City|Confectionary / Tobacconist / Newsagents|Tobacco Only|D.D. Store|Inactive
D.I Grocers|3 Station Road, Windygates KY8 5DB|KY8 5DB|Fife|Convenience Store|Tobacco Only|D.I.Grocers|Active
D.M Fraser|Castlegreen Road,  KW14 7NB|KW14 7NB|Highland|Convenience Store|Tobacco And Nicotine Vapour Products|D.M Fraser|Active
d.w.ices|4 james st bellshill, north lanarkshire ML4 4LU|ML4 4LU|North Lanarkshire|Mobile Trade|Tobacco Only|d.w.ices|Active
D+S traders|19, baluniefield road douglas DD4 8TU|DD4 8TU|Dundee City|Other Retail|Tobacco Only|d+s traders|Inactive
DA KEG|No5 DUNROSSNESS IND ESTATE, DUNROSSNESS ZE2 9JB|ZE2 9JB|Shetland Islands|Off-Licence|Tobacco Only|MAINLANDS Ltd|Inactive
Da Keg|Mainlands Ltd, Da Keg, Dunrossness ZE2 9JB|ZE2 9JB|Shetland Islands|Off-Licence|Tobacco Only|Mainlands Mini Market Ltd|Inactive
DA RETAIL LTD|13 Ashland, Avenue ML3 7SH|ML3 7SH|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|DA RETAIL LTD|Active
Da Wheel Bar|13 Commercial Road,  ZE1 0LX|ZE1 0LX|Shetland Islands|Public House|Tobacco Only|Da Wheel Bar LLP|Active
DAILLY ROAD STORE|21 Dailly Road,  KA19 7AX|KA19 7AX|South Ayrshire|Convenience Store|Tobacco And Nicotine Vapour Products|MINISHANT GENERAL STORE|Active
Daily News|496 Great western Road,  G12 8EW|G12 8EW|Glasgow City|Confectionary / Tobacconist / Newsagents|Tobacco Only|Daily News|Active
DAIRSIE AUTOPOINT|MAIN STREET,,  KY15 4SR|KY15 4SR|Fife|Forecourt Garage|Tobacco Only|DAIRSIE AUTOPOINT|Active
Dairsie Mini Mart|20 main street,  KY15 4SS|KY15 4SS|Fife|Convenience Store|Tobacco And Nicotine Vapour Products|Dairsie Mini Mart|Active
Dalavich Shop/Post Office|39, Dalavich,  PA35 1HN|PA35 1HN|Argyll and Bute|Convenience Store|Tobacco Only|Dalavich Shop/Post Office|Active
Dalbeattie|55 High Street,  DG5 4HA|DG5 4HA|Dumfries and Galloway|Convenience Store|Tobacco And Nicotine Vapour Products|The Co-operative Group Food Ltd|Active
dalbeattie post office|4 high street,  DG5 4AA|DG5 4AA|Dumfries and Galloway|Confectionary / Tobacconist / Newsagents|Tobacco Only|dalbeattie post office|Active
Dalgarven House Hotel|Dalry Road, Dalry KA13 6PL|KA13 6PL|South Ayrshire|Hotel|Tobacco Only|Dalgarven House Hotel|Inactive
Dalgety Bay - Harbour Drive|Good News Shop, 28 Lt Sales Avenue, Dalgety Bay KY11 9GB|KY11 9GB|Fife|Convenience Store|Tobacco And Nicotine Vapour Products|The Co-operative Group Food Ltd|Active
Dalgliesh's Takeaway Limited|21/22 The Square,  KA18 1AU|KA18 1AU|East Ayrshire|Other Catering|Tobacco Only|Dalgliesh's Takeaway Limited|Active
Dalhousie Hotel|47 High Street,  DD7 6AG|DD7 6AG|Angus|Hotel|Tobacco Only|WDP Distribution Ltd t/a Dalhousie Hotel|Inactive
dalhousie newsagent|3 dalhousie place,  EH19 2LN|EH19 2LN|Midlothian|Convenience Store|Tobacco Only|dalhousie newsagent|Active
Daliburgh|292 Daliburgh,  HS8 5SS|HS8 5SS|Comhairle nan Eilean Siar|Convenience Store|Tobacco And Nicotine Vapour Products|The Co-operative Group Food Ltd|Active
Dalkeith|Main Street, Newtongrange EH22 4PB|EH22 4PB|Midlothian|Supermarket and Other Retail Outlets|Tobacco And Nicotine Vapour Products|The Co-operative Group Food Ltd|Active
DALKEITH|24 High street, Dalkeith EH22 1HR|EH22 1HR|Midlothian|Other Retail|Nicotine Vapour Products Only|B&M RETAIL|Active
Dalkeith News Agents |48 Gibraltar Gardens,  EH22 1EQ|EH22 1EQ|East Lothian|Convenience Store|Tobacco And Nicotine Vapour Products|Dalkeith News Agents |Active
Dalkeith Newsagent|20 Esk Bank Road, Dalkeith EH22 1HQ|EH22 1HQ|Midlothian|Confectionary / Tobacconist / Newsagents|Tobacco Only|Dalkeith News Agent|Active
Dalkeith Wines|High Street,  EH22 1AX|EH22 1AX|Midlothian|Off-Licence|Tobacco Only|Dalkieth Wines|Active
Dalmally Store|34 Glenview,  PA33 1BE|PA33 1BE|Argyll and Bute|Convenience Store|Tobacco And Nicotine Vapour Products|dalmally village store|Active
Dalmally Village Store|Glenview,  PA33 1BE|PA33 1BE|Argyll and Bute|Convenience Store|Tobacco Only|Dalmally Village Store|Inactive
Dalmarnock minimart|614 Dalmarnock Road,  G40 4NN|G40 4NN|Glasgow City|Convenience Store|Tobacco And Nicotine Vapour Products|Dalmarnock minimart|Active
Dalmarnock Spar|35/37 Dalmarnock Road,  ML1 2ES|ML1 2ES|Glasgow City|Convenience Store|Tobacco Only|Dalmarnock Spar|Active
Dalmellington|2 Churchill, High Main Street KA6 7QP|KA6 7QP|East Ayrshire|Convenience Store|Tobacco And Nicotine Vapour Products|The Co-operative Group Food Ltd|Active
Dalmellington Inn|6 High Street, Dalmellington KA6 7QU|KA6 7QU|East Ayrshire|Public House|Tobacco Only|Coveglen Ltd|Active
Dalmuir Foodstore   T/A Day Today Express|826 Dumbarton Rd, Dalmuir G81 4BS|G81 4BS|West Dunbartonshire|Convenience Store|Tobacco Only|Dalmuir Food Store|Active
Dalmuir Newsagents|710 Dumbarton road,  G81 4BB|G81 4BB|West Dunbartonshire|Confectionary / Tobacconist / Newsagents|Tobacco Only|Dalmuir Newsagents|Active
Dalneigh Stores|36 St Margarets Road,  IV3 5AL|IV3 5AL|Highland|Confectionary / Tobacconist / Newsagents|Tobacco Only|Dalneigh Stores|Inactive
Dalneigh Stores|36 St Margarets Road,  IV3 5AF|IV3 5AF|Highland|Convenience Store|Tobacco Only|Dalneigh Stores|Active
Dalraddy Holiday Park|by Aviemore,  PH22 1QB|PH22 1QB|Highland|Convenience Store|Tobacco Only|Dalraddy Holiday Park|Active
Dalrannoch @ the Pit Stop|Oban Railway Station, Railway Pier PA34 4LW|PA34 4LW|Argyll and Bute|Confectionary / Tobacconist / Newsagents|Tobacco Only|Dalrannoch @ the Pit Stop|Inactive
Dalry|21 New Street,  KA24 5AH|KA24 5AH|North Ayrshire|Supermarket and Other Retail Outlets|Tobacco And Nicotine Vapour Products|The Co-operative Group Food Ltd|Active
Dalry Bowling Club|25 Braehead, The Public Park KA24 5HL|KA24 5HL|North Ayrshire|Sports Club|Tobacco Only|Dalry Bowling Club|Active
Dalry Convenience Store|21/23 Dalry Road,  EH11 2BQ|EH11 2BQ|Edinburgh City|Off-Licence|Tobacco Only|Sahil Enterprise Ltd|Inactive
Dalry multi store|16 Main Street,  KA24 5DH|KA24 5DH|North Ayrshire|Other Retail|Tobacco And Nicotine Vapour Products|Dalry multi store |Active
Dalry news agents|Dalry Newsagents, 174 Dalry Road EH11 2EG|EH11 2EG|Edinburgh City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Dalry news agents|Inactive
Dalry TOFS Store|Drakemyre,  KA24 5JD|KA24 5JD|North Ayrshire|Supermarket and Other Retail Outlets|Tobacco And Nicotine Vapour Products|The Original Factory Shop|Active
dalrymple post office|5 barbieston road, dalrymple KA6 6DZ|KA6 6DZ|East Ayrshire|Convenience Store|Tobacco Only|dalrymple post office|Inactive
Dalrymple Service Station|Dirgeton Avenue,  EH32 5DF|EH32 5DF|East Lothian|Forecourt Garage|Tobacco Only|MMC Forecourts Ltd|Active
Dalrymple Service Station|Direlton Road,  EH39 5DF|EH39 5DF|East Lothian|Forecourt Garage|Tobacco And Nicotine Vapour Products|AWRAZA Ltmited|Active
Dalwhinnie Filling Station|Dalwhinnie,  PH19 1AF|PH19 1AF|Highland|Forecourt Garage|Tobacco Only|Dalwhinnie Filling Station|Inactive
Dalwhinnie garage |Dalwhinnie Garage,  PH19 1AF|PH19 1AF|Highland|Forecourt Garage|Tobacco And Nicotine Vapour Products|DALWHINNIE FILLING STATION|Active
dalys newsagents|5 leven view,  G81 3AR|G81 3AR|West Dunbartonshire|Confectionary / Tobacconist / Newsagents|Tobacco Only|dalys newsagents|Active
dancorp ltd|54, hillington road cordonald G51 2AA|G51 2AA|Glasgow City|Convenience Store|Tobacco Only|dancorp ltd|Active
Danderhall|2B Church Newton Road, Danderhall EH22 1LT|EH22 1LT|Midlothian|Convenience Store|Tobacco And Nicotine Vapour Products|The Co-operative Group Food Ltd|Active
Dangles|10 Newmill Gardens, Canongate KY16 8RY|KY16 8RY|Fife|Other Retail|Tobacco Only|Dangles|Active
Dankensteins Headshop|7 Dunlop Street,  PA4 8PG|PA4 8PG|Renfrewshire|Other Retail|Nicotine Vapour Products Only|Terphouse LTD|Active
danny's convenience store|220 main street, baillieston G69 6AG|G69 6AG|Glasgow City|Convenience Store|Tobacco Only|J&D O'Shea|Active
Dannys Ices|4 Walkerburn Drive, Coltness ML2 8RY|ML2 8RY|South Lanarkshire|Mobile Trade|Tobacco Only|A and J ICES|Active
Danny's Ices|4 Walkerburn Drive, Coltness ML2 8RY|ML2 8RY|South Lanarkshire|Mobile Trade|Tobacco Only|A and J ICES|Active
dannyssuperstore|56 barterholm road,  PA2 6PD|PA2 6PD|Renfrewshire|Off-Licence|Tobacco Only|dannyssuperstore|Inactive
Dan's Goods|26 Main Street, Guardbridge KY16 0UG|KY16 0UG|Fife|Convenience Store|Tobacco And Nicotine Vapour Products|Dan's Goods LTD|Active
D'arcy's|The Courtyard, Princes Square G1 3JN|G1 3JN|Glasgow City|Restaurant|Tobacco Only|G1 Group Plc|Active
Darin's takeaway|214 boswall parkway,  EH5 2XL|EH5 2XL|Edinburgh City|Other Retail|Tobacco Only|Darin's|Active
Dark island Hotel|Liniclate, Isle of Benbecula HS7 5PJ|HS7 5PJ|Comhairle nan Eilean Siar|Hotel|Tobacco Only|Dark Island Hotel|Active
Darnley Mill Filling Station,|Highland Fuels Ltd,, Nitshill Road G53 7RZ|G53 7RZ|South Lanarkshire|Forecourt Garage|Tobacco And Nicotine Vapour Products|Highland Fuels Ltd|Active
Darnleymill Sevice Station|Nitshill Road,  G53 7RZ|G53 7RZ|Glasgow City|Forecourt Garage|Tobacco Only|Lunargem Ltd|Active
Darroch's|21 Main Street,  G71 8RD|G71 8RD|South Lanarkshire|Confectionary / Tobacconist / Newsagents|Tobacco Only|Bashir Mohammed|Inactive
darrochs newsagent|Darroch Newsagent, 21 Main Street, Bothwell G71 8RD|G71 8RD|South Lanarkshire|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Darrochs newsagent|Active
DARROCHS NEWSAGENTS|21 MAIN STREET, BOTHWELL G71 8RD|G71 8RD|South Lanarkshire|Confectionary / Tobacconist / Newsagents|Tobacco Only|WRM OX LTD|Inactive
Darvel|23 East Main Street,  KA17 0HR|KA17 0HR|East Ayrshire|Convenience Store|Tobacco And Nicotine Vapour Products|The Co-operative Group Food Ltd|Active
Darvel Post Office - Nisa|15 East Main Street,  KA17 0AB|KA17 0AB|East Ayrshire|Convenience Store|Tobacco Only|Darvel Post Office - Nisa|Active
David & Son's|34 -36 Harcourt road,  KY2 5HF|KY2 5HF|Fife|Convenience Store|Tobacco Only|F/O Davids|Inactive
David &sons|David & Sons, 34-36 Harcourt Road KY2 5HF|KY2 5HF|Fife|Convenience Store|Tobacco And Nicotine Vapour Products|David &sons|Active
David Cairney Barbering|81 Arkleston Road,  PA1 3TS|PA1 3TS|Renfrewshire|Other Retail|Nicotine Vapour Products Only|David Cairney|Active
David Halsall Motors|The Garage, Broughton ML12 6HQ|ML12 6HQ|Scottish Borders|Forecourt Garage|Tobacco Only|David Halsall Motors|Inactive
David Hume Tower|David Hume Tower, Windmill Lane,, Off Bucceleuch Place EH8 9JX|EH8 9JX|Edinburgh City|Other Retail|Tobacco And Nicotine Vapour Products|Edinburgh University Students Assosciation|Active
David irons and sons|26, Castle street DD8 3AD|DD8 3AD|Angus|Other Retail|Nicotine Vapour Products Only|N d east coast limited|Active
DAVID ROBB NEWSAGENT|2 LIBERTON GARDENS, EDINBURGH EH16 6JR|EH16 6JR|Edinburgh City|Confectionary / Tobacconist / Newsagents|Tobacco Only|KHUSHI SOHAIL LIMITED|Active
David Smith|18 Corran Street,  G33 3DT|G33 3DT|East Ayrshire, East Renfrewshire, Falkirk, Glasgow City, North Ayrshire, Renfrewshire, South Ayrshire, West Dunbartonshire|Mobile Trade|Nicotine Vapour Products Only|David Smith vape products|Active
David Spence|42 Broad Street,  KW15 1DG|KW15 1DG|Orkney Islands|Confectionary / Tobacconist / Newsagents|Tobacco Only|George Leonard & Co|Active
David Trantor|27 Fairisle place,  IV31 6RN|IV31 6RN|Moray|Other Retail|Nicotine Vapour Products Only|David Trantor|Active
David Waldies|9-11 Evan Street,  AB39 2EQ|AB39 2EQ|Aberdeenshire|Confectionary / Tobacconist / Newsagents|Tobacco Only|David Waldies|Active
david waldies|David Waldie Ltd, 9-11 Evan Street AB39 2EQ|AB39 2EQ|Aberdeenshire|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|DAVID WALDIES LTD|Active
David's Kitchen Ltd|Caskieberran Road,  KY6 2BD|KY6 2BD|Fife|Convenience Store|Tobacco And Nicotine Vapour Products|David's Kitchen Ltd|Active
David's Kitchen Ltd|50 Dalderse Avenue,  FK2 7EG|FK2 7EG|Falkirk|Convenience Store|Tobacco And Nicotine Vapour Products|David's Kitchen Ltd|Active
David's Kitchen Ltd|Oriel Road,  KY2 5PP|KY2 5PP|Fife|Convenience Store|Tobacco And Nicotine Vapour Products|David's Kitchen Ltd|Active
David's News|Tollcross Road,  G32 8UP|G32 8UP|Glasgow City|Confectionary / Tobacconist / Newsagents|Tobacco Only|David's News|Active
Davids Newsagents|24 Cotburn Crescent,  KY3 9JE|KY3 9JE|Fife|Convenience Store|Tobacco Only|F/O Davids|Inactive
Davidson Cash & Carry|33 Viking Road, Brownsburn Industrial Estate ML6 9SE|ML6 9SE|North Lanarkshire|Bulk Suppliers|Tobacco And Nicotine Vapour Products|Davidson Cash & Carry|Active
Davies Ices|12 The Wisp,  EH16 4SQ|EH16 4SQ|Edinburgh City|Mobile Trade|Tobacco Only|Davies Ices|Active
davies licensed grocers|128 Petersburn road, petersburn ML6 8DE|ML6 8DE|North Lanarkshire|Convenience Store|Tobacco Only|davies licensed grocers|Active
davis snooker club|57 new road,  KA8 8DA|KA8 8DA|South Ayrshire|Sports Club|Tobacco Only|baldev singh|Inactive
Day - Today|51 - 53 Boswall Park Way,  EH5 2BR|EH5 2BR|Edinburgh City|Off-Licence|Tobacco Only|Ather & Co.Ltd. t/a Day - Today|Inactive
Day 2 Day|9 Maggie Wood Loan,  FK1 5HR|FK1 5HR|Falkirk|Convenience Store|Tobacco Only|Day 2 Day|Inactive
Day N Nite|54/56 Caledonian Road,  ML2 8AP|ML2 8AP|North Lanarkshire|Convenience Store|Tobacco Only|Day Today|Inactive
day n nite|54 caledonian road,  ML2 8AR|ML2 8AR|North Lanarkshire|Off-Licence|Tobacco And Nicotine Vapour Products|samra off sale ltd|Active
Day To|Ochilview Mini Market, 2-3 Fleming Court FK6 5HB|FK6 5HB|Falkirk|Off-Licence|Tobacco And Nicotine Vapour Products|Day to Day express|Active
Day to Day|121- 123 High Street, Newarthill ML1 5JH|ML1 5JH|North Lanarkshire|Convenience Store|Tobacco Only|I & S Stores  Day to Day|Inactive
day to day|thornton drive,  ML11 9SP|ML11 9SP|South Lanarkshire|Confectionary / Tobacconist / Newsagents|Tobacco Only|day to day|Inactive
DAY TO DAY|244, PAISLEY ROAD WEST G51 1BU|G51 1BU|Glasgow City|Convenience Store|Tobacco Only|VR3 LTD|Active
day to day|576, shettleston road G31 5JX|G31 5JX|Glasgow City|Convenience Store|Tobacco Only|da to day|Active
day to day|628 alexandra parade, dennistoun G31 3BT|G31 3BT|Glasgow City|Convenience Store|Tobacco Only|qsave|Active
day to day|233-235 allison street,  G42 8HA|G42 8HA|Glasgow City|Confectionary / Tobacconist / Newsagents|Tobacco Only|day to day|Active
day to day|66b leven road, townhead ML5 2LT|ML5 2LT|North Lanarkshire|Convenience Store|Tobacco Only|blackloan ltd|Active
day to day|278 main street,  G72 0DH|G72 0DH|South Lanarkshire|Convenience Store|Tobacco Only|sr commercial (sctoland) ltd|Inactive
day to day|67 gair crescent, pather ML2 0PB|ML2 0PB|North Lanarkshire|Convenience Store|Tobacco Only|pather mini market|Active
day to day|149 cumbernauld rd, stepps G33 6EY|G33 6EY|North Lanarkshire|Convenience Store|Tobacco Only|mobys mini market|Inactive
Day to Day|80 Portland Place,  ML3 7LA|ML3 7LA|South Lanarkshire|Convenience Store|Tobacco Only|Compare (Halfway) Ltd|Inactive
Day to Day|280 Belshill Road,  ML1 3SQ|ML1 3SQ|North Lanarkshire|Off-Licence|Tobacco Only|Day to Day|Active
Day To Day|1-3 Pennywell Court, Muirhouse Shopping Centre EH4 4TZ|EH4 4TZ|Edinburgh City|Convenience Store|Tobacco Only|Day To Day|Active
day to day|35 gartlea road,  ML6 9LT|ML6 9LT|North Lanarkshire|Convenience Store|Tobacco Only|day to day|Inactive
day to day|78 farm road,  ML3 9LD|ML3 9LD|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|family choice hamilton ltd|Active
Day to day|52-54 muir street,  ML1 1BN|ML1 1BN|North Lanarkshire|Convenience Store|Tobacco Only|ON enterprise|Active
day to day|322 st georges rd,  G3 6JR|G3 6JR|Glasgow City|Convenience Store|Tobacco Only|life long retail|Active
Day to day|25 Mitchell street,  KY1 1BD|KY1 1BD|Fife|Convenience Store|Tobacco Only|Durrani Incorporated limited|Inactive
Day to Day|149 Cumbernauld Road,  G33 6EY|G33 6EY|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Day to day|Active
Day to Day|278 main street,  G72 0DH|G72 0DH|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|toshiba solutions ltd|Inactive
Day to day |226 Silvertonhill Avenue,  ML3 7PF|ML3 7PF|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Day to day |Active
Day to Day|Spar Stores, 1140-1146 Tollcross Road G32 8HE|G32 8HE|Glasgow City|Convenience Store|Tobacco And Nicotine Vapour Products|s.sattar limited|Active
Day to Day|70 Main Street, Chapelhall ML6 8SB|ML6 8SB|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|poppin store|Active
Day to day |1/3 Dillichip Terrace,  G83 9HZ|G83 9HZ|West Dunbartonshire|Off-Licence|Tobacco And Nicotine Vapour Products|Day to day|Active
Day to day |57 Balloch rd,  G83 8LQ|G83 8LQ|West Dunbartonshire|Off-Licence|Tobacco And Nicotine Vapour Products|Day to day|Active
Day to Day Express|55 Old Dumbarton Road,  G3 8RF|G3 8RF|Glasgow City|Convenience Store|Tobacco Only|Jarvis Distributoion Ltd|Active
Day to Day Express|63 Main Street,  G71 8ER|G71 8ER|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Day to Day Express|Active
Day to Day Express|143 Spey Road, Bearsden G61 1LF|G61 1LF|East Dunbartonshire|Convenience Store|Tobacco Only|Day to Day Express|Active
day to day express|92 main street,  G78 1SE|G78 1SE|East Renfrewshire|Convenience Store|Tobacco And Nicotine Vapour Products|ms33 ltd|Active
DAY TO DAY EXPRESS|9 BURLEIGH STREET,  G51 3LA|G51 3LA|Glasgow City|Convenience Store|Tobacco And Nicotine Vapour Products|AA TARDERS LTD|Active
Day to Day Express|Day To Day Express, 61 High Street PA1 2AS|PA1 2AS|Renfrewshire|Convenience Store|Tobacco And Nicotine Vapour Products|Mehd MJ Ltd|Active
Day To Day Express Grosers|Lifestyle Express, 37 Gibson Street G12 8NU|G12 8NU|Glasgow City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Day To Day Express Grosers|Active
day to day monkton|29 Main Street, Monkton KA9 2QJ|KA9 2QJ|South Ayrshire|Convenience Store|Tobacco And Nicotine Vapour Products|Girvan grocers ltd|Active
Day Today|8a stanley road, greenrigg ML7 5QX|ML7 5QX|West Lothian|Off-Licence|Tobacco Only|Day Today|Active
Day Today|9 DUNVEGAN QUADRANT, RENFREW PA4 9BS|PA4 9BS|Renfrewshire|Convenience Store|Tobacco And Nicotine Vapour Products|MOHAN ISRANI LTD|Active
Day Today|177 Great Western Road, Woodlands G4 9AW|G4 9AW|Glasgow City|Convenience Store|Tobacco And Nicotine Vapour Products|Great Western & Co LTD|Active
